old_path,new_path,original_bytes,webp_bytes,saved_bytes,status,error
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-19.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-19.webp,1404834,70844,1333990,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-20.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-20.webp,3091328,302584,2788744,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-21.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-21.webp,3140489,268218,2872271,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-22.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-22.webp,2997051,235736,2761315,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/session-49-the-rushlight-begins-23.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/session-49-the-rushlight-begins-23.webp,2889732,221438,2668294,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/session-49-the-rushlight-begins-image-01.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/session-49-the-rushlight-begins-image-01.webp,3834777,535370,3299407,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/session-49-the-rushlight-begins-image-02.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/session-49-the-rushlight-begins-image-02.webp,3888530,545764,3342766,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/session-49-the-rushlight-begins-image-03.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/session-49-the-rushlight-begins-image-03.webp,2723910,386510,2337400,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-01.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-01.webp,6705928,206966,6498962,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-02.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-02.webp,6784450,199554,6584896,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-03.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-03.webp,6885041,210312,6674729,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-04.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-04.webp,6883420,208784,6674636,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-05.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-05.webp,7755606,225806,7529800,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-06.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-06.webp,7489057,278258,7210799,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-07.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-07.webp,8717505,250612,8466893,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-08.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-08.webp,9827209,334996,9492213,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-09.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-09.webp,9506197,311448,9194749,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-10.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-10.webp,9637058,328328,9308730,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-11.png,,9211213,0,0,ERROR,image file is truncated
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-12.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/Session 50-12.webp,9716627,320134,9396493,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/session-50-silver-overall-steel-at-the-border-13.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/session-50-silver-overall-steel-at-the-border-13.webp,3052427,230856,2821571,converted,
assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/session-50-silver-overall-steel-at-the-border-image-01.png,assets/world-anvil/screenshots/Session 50 - Silver Overall Steel at the Border/session-50-silver-overall-steel-at-the-border-image-01.webp,3910973,527836,3383137,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-01.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-01.webp,8145379,307600,7837779,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-02.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-02.webp,8109395,269484,7839911,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-03.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-03.webp,7664867,234438,7430429,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-04.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-04.webp,9010495,383856,8626639,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-05.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-05.webp,8907275,401396,8505879,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-06.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-06.webp,9453432,397156,9056276,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-07.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-07.webp,9390496,422084,8968412,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-08.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-08.webp,9296277,346472,8949805,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-09.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-09.webp,8311975,335414,7976561,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-10.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-10.webp,8613204,344278,8268926,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-11.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-11.webp,7389824,272858,7116966,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-12.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-12.webp,8390391,335758,8054633,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-13.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-13.webp,2502104,217076,2285028,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-14.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-14.webp,2245361,156472,2088889,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-15.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-15.webp,2337202,173550,2163652,converted,
assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-16.png,assets/world-anvil/screenshots/Session 51 - Storms on the Western Horizon/Session 51-16.webp,2310599,173248,2137351,converted,
